D	P	C
2000	12	3
200	8	14
800	96	1
2000	16	1
200	12	17
1000	48	3
200	16	19
2000	24	3
1000	52	2
2000	28	4
200	20	12
200	24	12
1200	0	66
1000	56	3
1200	4	68
200	28	12
0	80	1
1000	60	2
200	32	8
1200	8	32
200	36	4
1200	12	10
1200	16	5
200	40	4
1800	40	1
1000	72	1
200	44	2
1200	20	2
2200	0	15
200	48	4
2200	4	36
200	52	2
800	64	1
200	56	1
2200	8	13
400	0	14
400	4	44
0	116	1
1200	32	1
2200	12	3
400	8	56
1200	40	1
400	12	39
200	68	1
400	16	18
2200	24	1
1200	48	1
400	20	6
200	72	1
1400	0	47
400	24	8
1000	104	1
1200	56	1
1400	4	65
400	28	4
1200	60	1
1400	8	25
400	32	2
1200	64	1
1400	12	12
1200	68	1
400	36	2
200	96	2
400	40	5
200	92	1
1400	16	2
1400	20	2
400	44	1
0	160	1
2400	0	12
200	104	1
2400	4	13
1400	28	1
1400	24	1
1400	32	5
2400	8	8
400	48	1
600	0	35
600	4	71
400	60	2
200	116	2
600	8	58
400	64	3
2400	12	1
1400	40	3
1400	44	2
600	12	16
2400	16	1
2400	20	1
200	128	3
600	16	7
400	68	1
2400	24	1
400	76	1
600	20	9
1400	48	2
200	132	1
1600	0	42
600	24	2
400	72	1
400	80	1
1600	4	54
1400	60	2
600	28	3
400	88	3
1600	8	25
400	84	1
600	32	3
1600	12	9
600	36	2
600	40	2
1600	16	3
600	44	1
400	100	1
1600	20	3
2600	0	6
400	104	2
200	160	1
2600	4	18
600	52	2
1600	24	2
1600	28	1
2600	8	3
800	0	52
400	108	1
1600	32	1
800	4	88
600	60	2
400	112	1
2600	12	1
800	8	42
600	64	4
200	168	1
2600	16	1
600	68	2
800	12	25
200	176	1
400	124	1
600	72	5
800	16	11
2600	20	1
1600	48	1
800	20	5
200	188	1
200	180	2
600	76	1
1800	0	34
800	24	6
600	80	1
1800	4	40
600	84	3
400	136	1
800	28	3
1800	8	18
800	32	2
200	196	1
600	88	1
1800	12	3
600	92	2
1600	64	1
400	148	1
800	40	2
1800	16	2
1600	68	1
400	152	1
1800	20	3
600	100	2
800	44	1
800	48	2
2800	0	5
1800	24	1
800	52	4
2800	4	21
600	108	1
800	56	2
1000	0	80
2800	8	9
1000	4	74
800	60	2
1800	32	2
1800	36	1
2800	16	1
1000	8	37
0	28	1
0	32	1
1000	12	11
800	68	3
2800	12	1
1800	44	1
2800	24	1
1000	16	5
0	36	2
800	72	1
800	76	2
1000	20	2
0	44	1
1000	24	5
0	48	2
2000	0	26
2800	36	1
2000	4	35
800	80	1
0	52	1
2000	8	15
1000	32	4
1000	28	2
0	56	1
1000	36	1
200	4	7
200	0	1
