src_code	src_name	dst_name	dst_code	price	is_direct	airlines
amst	Amsterdam	Dubai	DXB	146	False	Pegasus Airlines, Emirates, KLM, transavia
amst	Amsterdam	Buenos Aires Ministro Pistarini	EZE	1818	True	KLM
amst	Amsterdam	Vienna	VIE	165	False	Vueling Airlines, KLM, Austrian Airlines
amst	Amsterdam	Perth	PER	1011	False	Emirates, Virgin Australia, Cathay Pacific, China Southern
amst	Amsterdam	Baku Heydar Aliyev International	GYD	148	False	Pegasus Airlines, British Airways, Lufthansa, KLM
amst	Amsterdam	Sarajevo International	SJJ	258	False	Croatia Airlines, Lufthansa, Pegasus Airlines, Turkish Airlines
amst	Amsterdam	Brussels International	BRU	264	True	KLM
amst	Amsterdam	Brussels International	BRU	111	False	SAS
amst	Amsterdam	Bourgas	BOJ	176	True	Corendon, transavia
amst	Amsterdam	Varna	VAR	119	False	Bulgaria Air, Aeroflot, Rossiya Airlines, Austrian Airlines
amst	Amsterdam	Bahrain	BAH	314	False	EgyptAir, British Airways, Lufthansa, Etihad Airways
amst	Amsterdam	Bonaire	BON	2342	False	United, ArkeFly
amst	Amsterdam	Sao Paulo Guarulhos	GRU	1818	True	KLM
amst	Amsterdam	Sao Paulo Guarulhos	GRU	530	False	Condor
amst	Amsterdam	Calgary	YYC	1987	True	Delta, KLM
amst	Amsterdam	Toronto Pearson International	YYZ	2036	True	Delta, KLM, ArkeFly
amst	Amsterdam	Vancouver International	YVR	2089	True	Delta, KLM
amst	Amsterdam	Toronto Pearson International	YYZ	476	False	Icelandair, KLM, ArkeFly
amst	Amsterdam	Vancouver International	YVR	946	False	Aer Lingus, KLM
amst	Amsterdam	Calgary	YYC	953	False	Air France, KLM
amst	Amsterdam	Basel Mulhouse Freiburg	BSL	33	True	easyJet, KLM
amst	Amsterdam	Geneva	GVA	36	True	easyJet, KLM
amst	Amsterdam	Zurich	ZRH	385	True	Swiss, KLM
amst	Amsterdam	Zurich	ZRH	153	False	SAS, KLM
amst	Amsterdam	Shanghai Pu Dong	PVG	1694	True	KLM
amst	Amsterdam	Beijing Capital	PEK	1755	True	KLM, China Southern
amst	Amsterdam	Shanghai Pu Dong	PVG	468	False	Aeroflot
amst	Amsterdam	Beijing Capital	PEK	713	False	Emirates, China Southern
amst	Amsterdam	Larnaca	LCA	522	True	KLM, Cyprus Airways
amst	Amsterdam	Larnaca	LCA	468	False	Lufthansa, Cyprus Airways
amst	Amsterdam	Prague	PRG	56	True	easyJet, KLM, Czech Airlines
amst	Amsterdam	Berlin Schoenefeld	SXF	47	True	easyJet
amst	Amsterdam	Munich	MUC	350	True	KLM, Lufthansa
amst	Amsterdam	Berlin Tegel	TXL	353	True	KLM
amst	Amsterdam	Bremen	BRE	356	True	KLM
amst	Amsterdam	Hamburg International	HAM	359	True	KLM, Lufthansa
amst	Amsterdam	Hannover	HAJ	417	True	KLM
amst	Amsterdam	Nuremberg	NUE	422	True	KLM
amst	Amsterdam	Berlin Tegel	TXL	104	False	SAS
amst	Amsterdam	Hamburg International	HAM	110	False	SAS, Lufthansa
amst	Amsterdam	Munich	MUC	150	False	SAS, Lufthansa
amst	Amsterdam	Copenhagen	CPH	80	False	SAS, Norwegian, KLM
amst	Amsterdam	Puerto Plata	POP	2429	False	United, ArkeFly
amst	Amsterdam	Santo Domingo Las Americas	SDQ	2952	False	Air France, KLM, United, Copa
amst	Amsterdam	Quito	UIO	2225	True	KLM
amst	Amsterdam	Tallinn	TLL	190	True	Estonian Air, KLM
amst	Amsterdam	Tallinn	TLL	116	False	airBaltic, KLM
amst	Amsterdam	Cairo	CAI	336	True	EgyptAir, KLM
amst	Amsterdam	Sharm El Sheikh	SSH	157	False	transavia
amst	Amsterdam	Cairo	CAI	248	False	Royal Jordanian, KLM
amst	Amsterdam	Palma - Majorca	PMI	63	True	Vueling Airlines, Iberia, transavia
amst	Amsterdam	Gerona	GRO	64	True	transavia
amst	Amsterdam	Seville	SVQ	72	True	transavia, Iberia, Vueling Airlines
amst	Amsterdam	Valencia	VLC	72	True	transavia, Iberia, Vueling Airlines
amst	Amsterdam	Malaga	AGP	80	True	Vueling Airlines, Iberia, transavia
amst	Amsterdam	Barcelona	BCN	80	True	Vueling Airlines, Iberia, KLM, transavia
amst	Amsterdam	Alicante	ALC	81	True	transavia, Iberia, Vueling Airlines
amst	Amsterdam	Ibiza	IBZ	106	True	transavia, Iberia, Vueling Airlines
amst	Amsterdam	La Palma	SPC	149	True	transavia
amst	Amsterdam	Gran Canaria Las Palmas	LPA	149	True	transavia
amst	Amsterdam	Tenerife South	TFS	183	True	transavia, KLM
amst	Amsterdam	Madrid	MAD	526	True	KLM, Iberia
amst	Amsterdam	San Sebastian Fuenteraba	EAS	120	False	Vueling Airlines, Iberia
amst	Amsterdam	Madrid	MAD	127	False	Vueling Airlines, Iberia
amst	Amsterdam	Bilbao	BIO	135	False	Vueling Airlines, Iberia
amst	Amsterdam	Pamplona	PNA	136	False	Vueling Airlines, Iberia
amst	Amsterdam	Almeria	LEI	141	False	Vueling Airlines, transavia
amst	Amsterdam	Gran Canaria Las Palmas	LPA	143	False	Vueling Airlines
amst	Amsterdam	Santiago de Compostela	SCQ	148	False	Vueling Airlines, Iberia
amst	Amsterdam	Valladolid	VLL	149	False	Vueling Airlines
amst	Amsterdam	Santander	SDR	149	False	Vueling Airlines, Iberia
amst	Amsterdam	Asturias	OVD	149	False	Vueling Airlines, Iberia
amst	Amsterdam	La Coruna	LCG	156	False	Vueling Airlines, Iberia
amst	Amsterdam	Granada	GRX	167	False	Vueling Airlines, British Airways, Iberia
amst	Amsterdam	Menorca	MAH	176	False	Vueling Airlines, transavia
amst	Amsterdam	Vigo	VGO	191	False	Vueling Airlines, Iberia, KLM, Air France
amst	Amsterdam	Tenerife North	TFN	215	False	Vueling Airlines, Iberia, KLM
amst	Amsterdam	Lanzarote	ACE	262	False	Vueling Airlines, transavia
amst	Amsterdam	Helsinki Vantaa	HEL	338	True	Finnair, KLM
amst	Amsterdam	Helsinki Vantaa	HEL	106	False	airBaltic, KLM
amst	Amsterdam	Nice	NCE	42	True	transavia, KLM
amst	Amsterdam	Marseille	MRS	480	True	Air France, KLM
amst	Amsterdam	Toulouse	TLS	493	True	Air France, KLM
amst	Amsterdam	Lyon	LYS	122	False	Vueling Airlines, KLM
amst	Amsterdam	Bordeaux	BOD	147	False	Vueling Airlines, KLM
amst	Amsterdam	Marseille	MRS	155	False	Vueling Airlines, KLM
amst	Amsterdam	Toulouse	TLS	156	False	Air Arabia Maroc, KLM
amst	Amsterdam	Avignon	AVN	199	False	Flybe, KLM, Air France
amst	Amsterdam	Paris Charles de Gaulle	CDG	255	False	Lufthansa, KLM, Air France
amst	Amsterdam	Tbilisi	TBS	104	False	Pegasus Airlines, KLM, Georgian Airways
amst	Amsterdam	Guernsey	GCI	131	False	Flybe, Blue Islands
amst	Amsterdam	Athens International	ATH	106	True	transavia, KLM
amst	Amsterdam	Crete Heraklion	HER	117	True	Corendon, transavia
amst	Amsterdam	Argostoli, Kefallinia	EFL	136	False	transavia
amst	Amsterdam	Rhodes	RHO	181	False	Vueling Airlines, transavia
amst	Amsterdam	Hong Kong International	HKG	1639	True	KLM, Cathay Pacific
amst	Amsterdam	Hong Kong International	HKG	1621	False	Air France, Cathay Pacific
amst	Amsterdam	Zagreb	ZAG	298	True	Croatia Airlines
amst	Amsterdam	Zagreb	ZAG	160	False	Vueling Airlines
amst	Amsterdam	Dubrovnik	DBV	188	False	JAT Airways, British Airways, Lufthansa, SAS
amst	Amsterdam	Split	SPU	225	False	SAS, Croatia Airlines, easyJet
amst	Amsterdam	Dublin	DUB	74	True	Aer Lingus
amst	Amsterdam	Cork	ORK	78	True	Aer Lingus
amst	Amsterdam	Tel Aviv	TLV	308	True	arkia, EL AL Israel Airlines, KLM
amst	Amsterdam	Tel Aviv	TLV	90	False	Pegasus Airlines, EL AL Israel Airlines, KLM
amst	Amsterdam	Delhi	DEL	1350	True	KLM
amst	Amsterdam	Mumbai	BOM	1353	True	KLM, Delta
amst	Amsterdam	Delhi	DEL	339	False	Aeroflot
amst	Amsterdam	Mumbai	BOM	699	False	Emirates, Delta
amst	Amsterdam	Kolkata	CCU	699	False	Emirates, Virgin Australia, Cathay Pacific
amst	Amsterdam	Erbil	EBL	485	False	EgyptAir, transavia
amst	Amsterdam	Reykjavik Keflavik	KEF	113	True	WOW air, Icelandair
